country,variable,total
England,Points,184
England,Tries,24
England,Conversions,19
England,Penalty Goals,8
England,Drop Goals,0
England,Metres Gained,2279
England,Carries,627
England,Defenders Beaten,112
England,Clean Breaks,67
England,Interceptions,5
England,Passes Made,730
England,Off Loads Made,33
England,Tackles Made,908
England,Missed Tackles,134
England,Turnovers Won,31
England,Turnovers Conceded,79
England,Penalties Conceded,29
England,Successful Lineout Takes,49
England,Stolen Lineouts,4
England,Yellow,1
England,Red Cards,0
England,Metres Per Carry,3.6347687400318978
France,Points,93
France,Tries,12
France,Conversions,6
France,Penalty Goals,5
France,Drop Goals,2
France,Metres Gained,2094
France,Carries,629
France,Defenders Beaten,140
France,Clean Breaks,53
France,Interceptions,1
France,Passes Made,666
France,Off Loads Made,59
France,Tackles Made,816
France,Missed Tackles,118
France,Turnovers Won,40
France,Turnovers Conceded,76
France,Penalties Conceded,47
France,Successful Lineout Takes,46
France,Stolen Lineouts,6
France,Yellow,4
France,Red Cards,0
France,Metres Per Carry,3.329093799682035
Ireland,Points,101
Ireland,Tries,14
Ireland,Conversions,11
Ireland,Penalty Goals,3
Ireland,Drop Goals,0
Ireland,Metres Gained,1811
Ireland,Carries,740
Ireland,Defenders Beaten,134
Ireland,Clean Breaks,32
Ireland,Interceptions,2
Ireland,Passes Made,931
Ireland,Off Loads Made,15
Ireland,Tackles Made,631
Ireland,Missed Tackles,91
Ireland,Turnovers Won,23
Ireland,Turnovers Conceded,80
Ireland,Penalties Conceded,37
Ireland,Successful Lineout Takes,68
Ireland,Stolen Lineouts,6
Ireland,Yellow,0
Ireland,Red Cards,0
Ireland,Metres Per Carry,2.4472972972972973
Italy,Points,79
Italy,Tries,10
Italy,Conversions,4
Italy,Penalty Goals,7
Italy,Drop Goals,0
Italy,Metres Gained,1994
Italy,Carries,677
Italy,Defenders Beaten,108
Italy,Clean Breaks,35
Italy,Interceptions,2
Italy,Passes Made,774
Italy,Off Loads Made,35
Italy,Tackles Made,760
Italy,Missed Tackles,126
Italy,Turnovers Won,20
Italy,Turnovers Conceded,67
Italy,Penalties Conceded,41
Italy,Successful Lineout Takes,55
Italy,Stolen Lineouts,9
Italy,Yellow,0
Italy,Red Cards,0
Italy,Metres Per Carry,2.945347119645495
Scotland,Points,105
Scotland,Tries,14
Scotland,Conversions,10
Scotland,Penalty Goals,5
Scotland,Drop Goals,0
Scotland,Metres Gained,2292
Scotland,Carries,696
Scotland,Defenders Beaten,145
Scotland,Clean Breaks,56
Scotland,Interceptions,5
Scotland,Passes Made,924
Scotland,Off Loads Made,35
Scotland,Tackles Made,874
Scotland,Missed Tackles,144
Scotland,Turnovers Won,25
Scotland,Turnovers Conceded,59
Scotland,Penalties Conceded,45
Scotland,Successful Lineout Takes,56
Scotland,Stolen Lineouts,1
Scotland,Yellow,1
Scotland,Red Cards,0
Scotland,Metres Per Carry,3.293103448275862
Wales,Points,114
Wales,Tries,10
Wales,Conversions,8
Wales,Penalty Goals,16
Wales,Drop Goals,0
Wales,Metres Gained,1480
Wales,Carries,569
Wales,Defenders Beaten,69
Wales,Clean Breaks,29
Wales,Interceptions,4
Wales,Passes Made,621
Wales,Off Loads Made,30
Wales,Tackles Made,837
Wales,Missed Tackles,95
Wales,Turnovers Won,37
Wales,Turnovers Conceded,66
Wales,Penalties Conceded,41
Wales,Successful Lineout Takes,38
Wales,Stolen Lineouts,1
Wales,Yellow,0
Wales,Red Cards,0
Wales,Metres Per Carry,2.601054481546573
